"name"	"country.etc"	"pop"	"lat"	"long"	"capital"
"Jarvis ON"	"ON"	2332	42.99	-79.7	0
"Jasper AB"	"AB"	3953	52.88	-118.08	0
"Joliette QC"	"QC"	34896	46.03	-73.45	0
"Kamloops BC"	"BC"	68879	50.68	-120.34	0
"Kamsack SK"	"SK"	1846	51.57	-101.9	0
"Kanata ON"	"ON"	100433	45.34	-75.88	0
"Kangerdlinerk NU"	"NU"	2368	62.82	-92.12	0
"Kapuskasing ON"	"ON"	9358	49.43	-82.42	0
"Kars ON"	"ON"	1646	49	-84	0
"Kedgwick NB"	"NB"	1137	47.63	-67.33	0
"Kelowna BC"	"BC"	129691	49.89	-119.46	0
"Kelvington SK"	"SK"	925	52.17	-103.52	0
"Kemptville ON"	"ON"	4283	45.02	-75.63	0
"Kenora ON"	"ON"	13412	49.78	-94.49	0
"Kensington PE"	"PE"	1434	46.43	-63.65	0
"Kent BC"	"BC"	2535	49.24	-121.81	0
"Kentville NS"	"NS"	12519	45.08	-64.51	0
"Kerrobert SK"	"SK"	1021	51.92	-109.13	0
"Killam AB"	"AB"	1068	52.78	-111.85	0
"Killarney MB"	"MB"	2385	49.18	-99.67	0
"Kimberley BC"	"BC"	6518	49.68	-115.98	0
"Kincardine ON"	"ON"	6857	44.17	-81.63	0
"Kindersley SK"	"SK"	4179	51.47	-109.13	0
"Kingsey Falls QC"	"QC"	1485	45.85	-72.08	0
"Kingston ON"	"ON"	115695	44.23	-76.5	0
"Kingston-Greenwood NS"	"NS"	6851	44.98	-64.9	0
"Kipling SK"	"SK"	953	50.1	-102.63	0
"Kirkland Lake ON"	"ON"	7572	48.17	-80.03	0
"Kitchener ON"	"ON"	414309	43.46	-80.5	0
"Kitimat BC"	"BC"	10286	54.01	-128.7	0
"La Crete AB"	"AB"	1500	59.13	-117.55	0
"La Malbaie QC"	"QC"	4463	47.65	-70.17	0
"La Pocatiere QC"	"QC"	4235	47.4	-70.01	0
"La Ronge SK"	"SK"	3021	55.1	-105.3	0
"La Sarre QC"	"QC"	7231	48.8	-79.2	0
"La Tuque QC"	"QC"	9252	47.44	-72.78	0
"Labelle QC"	"QC"	1243	46.28	-74.73	0
