"name"	"country.etc"	"pop"	"lat"	"long"	"capital"
"Diamond Bar CA"	"CA"	59433	34	-117.81	0
"Dothan AL"	"AL"	62449	31.24	-85.41	0
"Dover DE"	"DE"	34288	39.16	-75.53	2
"Downers Grove IL"	"IL"	49471	41.8	-88.02	0
"Downey CA"	"CA"	112762	33.94	-118.13	0
"Dublin CA"	"CA"	40791	37.72	-121.91	0
"Dubuque IA"	"IA"	57027	42.5	-90.69	0
"Duluth MN"	"MN"	84472	46.78	-92.12	0
"Dundalk MD"	"MD"	61426	39.27	-76.5	0
"Durham NC"	"NC"	208426	35.98	-78.91	0
"Duxbury MA"	"MA"	44473	42.04	-70.67	0
"Eagan MN"	"MN"	64393	44.82	-93.16	0
"East Brunswick NJ"	"NJ"	48799	40.43	-74.42	0
"East Hartford CT"	"CT"	50209	41.76	-72.62	0
"East Lake FL"	"FL"	47720	27.98	-82.38	0
"East Lansing MI"	"MI"	48618	42.74	-84.48	0
"East Los Angeles CA"	"CA"	125121	34.03	-118.17	0
"East Orange NJ"	"NJ"	68064	40.77	-74.21	0
"East Providence RI"	"RI"	50750	41.8	-71.36	0
"Eau Claire WI"	"WI"	63049	44.82	-91.49	0
"Eden Prairie MN"	"MN"	65076	44.85	-93.46	0
"Edina MN"	"MN"	45648	44.89	-93.36	0
"Edinburg TX"	"TX"	63193	26.3	-98.16	0
"Edison NJ"	"NJ"	103448	40.53	-74.37	0
"Edmond OK"	"OK"	75061	35.67	-97.41	0
"Edmonds WA"	"WA"	40023	47.83	-122.37	0
"Egypt Lake-Leto FL"	"FL"	49538	28.02	-82.5	0
"El Cajon CA"	"CA"	94767	32.8	-116.96	0
"El Mirage AZ"	"AZ"	42234	33.6	-112.32	0
"El Monte CA"	"CA"	127195	34.07	-118.03	0
"El Paso TX"	"TX"	603545	31.85	-106.44	0
"Eldersburg MD"	"MD"	41194	39.41	-76.94	0
"Elgin IL"	"IL"	99411	42.04	-88.29	0
"Elizabeth NJ"	"NJ"	124552	40.67	-74.19	0
"Elk Grove CA"	"CA"	99467	38.4	-121.37	0
"Elkhart IN"	"IN"	51198	41.69	-85.97	0
"Ellicott City MD"	"MD"	68337	39.27	-76.83	0
"Elmhurst IL"	"IL"	45463	41.9	-87.94	0
"Elyria OH"	"OH"	55811	41.38	-82.11	0
"Encinitas CA"	"CA"	62273	33.05	-117.26	0
"Enid OK"	"OK"	45935	36.41	-97.87	0
"Erie PA"	"PA"	98968	42.13	-80.09	0
"Escondido CA"	"CA"	137823	33.14	-117.07	0
"Euclid OH"	"OH"	49602	41.59	-81.52	0
"Eugene OR"	"OR"	146483	44.05	-123.11	0
"Euless TX"	"TX"	54705	32.85	-97.08	0
"Evanston IL"	"IL"	75419	42.05	-87.69	0
"Evansville IN"	"IN"	114237	37.98	-87.54	0
"Everett WA"	"WA"	97575	47.96	-122.2	0
"Fairfield CA"	"CA"	107749	38.25	-122.04	0
"Fairfield CT"	"CT"	59352	41.13	-73.26	0
"Fairfield OH"	"OH"	43279	39.33	-84.54	0
"Fall River MA"	"MA"	93128	41.71	-71.11	0
"Falmouth MA"	"MA"	90561	41.55	-70.6	0
"Fargo ND"	"ND"	92396	46.88	-96.82	0
"Farmington Hills MI"	"MI"	79530	42.49	-83.38	0
"Farmington NM"	"NM"	44278	36.75	-108.19	0
"Fayetteville AR"	"AR"	66288	36.07	-94.16	0
"Fayetteville NC"	"NC"	124919	35.07	-78.9	0
"Federal Way WA"	"WA"	80336	47.31	-122.34	0
"Findlay OH"	"OH"	40571	41.04	-83.64	0
"Fishers IN"	"IN"	58678	39.95	-86.02	0
"Fitchburg MA"	"MA"	40565	42.59	-71.82	0
"Flagstaff AZ"	"AZ"	58490	35.19	-111.62	0
"Flint MI"	"MI"	115691	43.02	-83.69	0
"Florence-Graham CA"	"CA"	63012	33.97	-118.24	0
"Florissant MO"	"MO"	51644	38.8	-90.32	0
"Flower Mound TX"	"TX"	70449	33.03	-97.09	0
"Folsom CA"	"CA"	71775	38.68	-121.15	0
"Fond du Lac WI"	"WI"	41787	43.77	-88.45	0
"Fontana CA"	"CA"	178257	34.1	-117.46	0
"Fort Collins CO"	"CO"	131505	40.56	-105.07	0
"Fort Lauderdale FL"	"FL"	173597	26.14	-80.14	0
"Fort Myers FL"	"FL"	53961	26.63	-81.85	0
"Fort Smith AR"	"AR"	82304	35.37	-94.38	0
"Fort Wayne IN"	"IN"	231147	41.07	-85.14	0
"Fort Worth TX"	"TX"	633849	32.75	-97.34	0
"Fountain Valley CA"	"CA"	56318	33.71	-117.95	0
"Fountainbleau FL"	"FL"	67124	25.77	-80.35	0
"Framingham MA"	"MA"	65103	42.31	-71.44	0
"Franconia VA"	"VA"	42105	38.76	-77.15	0
"Frankfort KY"	"KY"	27210	38.2	-84.86	2
"Franklin TN"	"TN"	51478	35.93	-86.84	0
"Frederick MD"	"MD"	58271	39.43	-77.42	0
"Freeport NY"	"NY"	43377	40.65	-73.58	0
"Fremont CA"	"CA"	202574	37.53	-122	0
"Fresno CA"	"CA"	472517	36.78	-119.79	0
"Frisco TX"	"TX"	80192	33.14	-96.81	0
"Fullerton CA"	"CA"	137126	33.88	-117.93	0
"Gainesville FL"	"FL"	127933	29.67	-82.34	0
"Gaithersburg MD"	"MD"	61649	39.14	-77.22	0
"Galveston TX"	"TX"	56205	29.3	-94.81	0
"Garden Grove CA"	"CA"	167647	33.78	-117.96	0
